onDraw Prepare Execute
1.15 0.28 4.49
1.39 0.28 4.31
1.15 0.28 4.64
1.13 0.29 4.24
1.20 0.32 4.25
1.10 0.33 4.88
1.16 0.28 4.34
1.16 0.28 4.19
1.15 0.28 4.44
1.13 0.30 6.43
1.12 0.29 6.20
1.16 0.29 4.46
1.33 0.26 4.33
1.13 0.29 4.34
1.16 0.28 4.52
1.19 0.28 4.34
1.13 0.28 4.51
1.12 0.28 4.62
2.22 0.69 3.19
1.55 0.27 2.65
1.42 0.22 4.13
1.26 0.23 3.63
1.13 0.27 4.48
1.32 0.27 4.56
1.19 0.27 4.76
1.50 0.32 4.16
1.76 0.28 3.46
1.22 0.44 4.35
1.57 0.23 4.08
1.21 0.43 6.00
48.53 0.47 9.35
43.10 0.31 7.19
3.21 0.25 5.58
1.11 0.19 4.30
1.00 0.20 4.11
1.08 0.26 5.17
1.07 0.26 5.04
1.30 0.25 4.83
1.19 0.25 5.15
1.54 0.29 5.28
1.31 0.32 5.28
1.52 0.25 4.88
1.61 0.28 3.68
1.08 0.38 4.60
1.45 4.51 5.06
1.38 0.25 3.11
1.59 0.27 3.38
1.47 1.05 3.49
1.37 1.02 3.07
1.47 0.26 3.37
1.49 1.11 2.82
1.38 0.26 3.47
1.41 0.25 3.54
1.39 0.26 6.00
1.40 0.25 5.79
1.36 0.26 3.56
1.40 0.25 3.68
1.49 0.25 3.54
1.49 0.25 3.58
1.41 0.26 3.58
1.49 0.26 3.48
1.26 0.26 3.67
1.39 0.26 4.00
2.18 0.44 5.46
1.81 0.68 3.80
1.64 0.48 3.74
1.93 0.46 5.01
1.18 0.60 6.67
5.66 0.87 7.53
3.96 0.99 6.76
3.26 1.00 13.18
3.48 0.81 8.76
4.11 0.75 9.70
3.06 1.29 7.21
2.65 0.85 8.63
5.05 0.81 7.74
3.01 0.80 7.96
3.18 0.70 8.55
2.76 0.74 6.45
4.34 0.78 5.57
4.35 1.12 9.03
3.44 0.75 10.04
2.62 0.71 6.60
3.17 0.78 7.27
13.51 0.68 5.85
8.26 0.55 3.86
7.53 0.96 4.19
4.88 0.57 3.92
4.52 0.77 4.12
5.09 0.60 4.01
4.51 0.65 4.27
4.67 0.60 4.13
4.48 1.13 4.66
4.45 0.54 4.36
4.49 0.78 3.84
4.58 0.63 4.26
4.84 1.03 4.11
4.27 0.57 4.46
1.12 0.46 6.35
4.81 1.13 12.06
5.17 1.97 10.18
5.62 0.82 18.54
4.28 0.91 22.66
3.46 0.84 9.10
9.34 1.02 11.37
4.91 0.67 12.30
2.57 2.45 11.78
3.59 0.56 19.16
6.61 0.79 6.73
3.70 0.70 7.43
3.51 0.87 6.58
6.14 0.82 7.22
3.65 0.73 10.79
2.93 0.79 13.47
2.27 0.19 1.66
3.40 0.63 6.69
8.14 1.02 9.40
10.95 1.10 11.65
1.80 0.81 7.80
4.02 0.62 5.28
22.16 0.73 5.91
8.50 0.24 1.88
5.11 0.24 7.81
4.63 0.31 19.62
3.37 0.24 17.98
4.68 0.24 14.08
5.70 0.31 2.09
8.88 0.44 3.42
6.08 0.44 6.46
7.24 0.91 6.14
8.26 0.77 5.53
7.28 0.74 12.50
9.53 0.59 9.29
5.28 0.59 5.90
9.59 0.79 13.58
6.60 0.66 9.15
9.09 0.59 4.62
5.31 0.67 9.10
5.27 0.69 8.83
